cliente,zona,sector,ejecutivo,tipo_cuenta,nivel_relacion,valoracion_relacion,estrategia,pasos_a_seguir
CARTONES AMERICA,SUR,MANUFACTURA,MELISSA CAMPUZANO CARDONA,A,ALTO,POSITIVA,"1. Fortalecer la protección de datos industriales y de clientes
2. Integrar IA en la cadena de suministro para trazabilidad y reducción de costos.
3. Capacitar al personal
4. Estrategia OT (Sistemas dispersos en varias plantas)
5. Implementar sistemas de monitoreo en tiempo real con inteligencia artificial para detección temprana de amenazas.
6. Integración de plataformas digitales que unifiquen operaciones, logística y gestión de clientes.
7. Revisión semestral de la base instalada y mejora contante.","1. Revisar el estado del RoadMap y actualizarlo para presentar al cliente
2. Revisar junto con Fortinet todas las tecnologías que el cliente tiene, buscando optimización 
3. Retomar assesment de OT y dar fuertemente continuidad"
BANCO W,SUR,FINANCIERO,MELISSA CAMPUZANO CARDONA,A,ALTO,POSITIVA,"1.Mantener la relación con los diferentes equipos del Banco, tratar de llegar más arriba a la dirección para tener cercanía con la Junta que toma decisiones finales
2. Apostarle a un diseño más ajustado y competitivo, una vez lancen el nuevo proceso","1. Se programó un cena con las diferentes áreas del Banco - Jueves 12 febrero para revisar los pasos a seguir, luego de declarado decierto el proceso.
2. Tomar acción para comenzar a diseñar el nuevo modelo y buscar el cierre del negocio"
JGB,SUR,QUÍMICO - FARMACÉUTICO,MELISSA CAMPUZANO CARDONA,A,ALTO,POSITIVA,"La cuenta la he venido recuperando, con temas de switches, APs y el año pasado se vendió servicios de CSOC con Lumu para todo el tema de monitoreo de RED y se logró renovar en 2025.
Hemos avanzado con la arquitectura por capas, en este momento tenemos pendiente presentar visualmente el RoadMap de seguridad con el plan de acción a corto, mediano y largo plazo. 
Ya entregamos presupuesto 2026 para la continuidad de los proyectos 2026 muy en línea con estrategia SASE, iniciando por ZTNA – SWG y CASB para aplicativos.","Es una cuenta muy Fortinet pero vale la pena revisar también este año temas de:
1. Observabilidad2. Pam
3. Protección correo electrónico
4. EPP
5. DLP"
SOCIEDAD PORTUARIA DE BUENAVENTURA,SUR,TRANSPORTE Y LOGÍSTICA,MELISSA CAMPUZANO CARDONA,A,ALTO,POSITIVA,"1. Terminar de cerrar la oportunidad del servicio de SOC con Gamma Ingenieros en Q1
2. Retomar el RoadMap de seguridad que se planteó posterior a la presentación de la arquitectura por capas
3. Asegurar que los servicios de soporte y gestión 7x24 puedan ser ofrecidos por nosotros","1. Tenemos programado un almuerzo para la primera semana de febrero 2026
2. Se programará una sesión con el ingeniero para dar continuidad al roadmap"
UNIVERSIDAD NACIONAL DE PALMIRA,SUR,EDUCACIÓN,MELISSA CAMPUZANO CARDONA,A,ALTO,POSITIVA,"1. Protección de datos sensibles  

2. Investigación segura  

3. Infraestructura híbrida  

4. Acceso remoto seguro  

5. Capacitación en ciberseguridad  

6. Continuidad operativa","Para dar inicio a este plan tengo agendada una reunión éste viernes 29 de enero de 2026 junto con Néstor Rocha
1. Ofrecer EDR/MDR para blindar endpoints y servidores, garantizando cumplimiento normativo.
2. Proponer soluciones de backup y cifrado para proteger propiedad intelectual y proyectos de investigación.
3. Presentar una estrategia de seguridad que cubra tanto sistemas modernos como legados, con monitoreo centralizado.
 4. Integrar MFA y monitoreo de accesos para plataformas virtuales y sistemas administrativos.
5. Incluir programas de formación para estudiantes y docentes, reduciendo riesgos de phishing y malware.
6. Complementar con planes de recuperación ante desastres para asegurar que matrícula, pagos y clases nunca se detengan."
INSTITUTO CIEGOS Y SORDOS,,ENTIDAD SIN ÁNIMO DE LUCRO,MELISSA CAMPUZANO CARDONA,A,ALTO,POSITIVA,"1. Protección de datos sensibles
2. Conciencia y capacitación al personal
3. Acceso remoto y telemedicina
4. Infraestructura limitada
5. Clasificación de información y DLP","Se está buscando una agenda para dar inicio al año y revisar los proyectos 2026
1. Se revisará Dolor: Manejo de historias clínicas y datos personales de niños y familias.
2. Dolor: Riesgo de phishing y errores humanos, por eso propondré programa de capacitación y sensibilización al usuario.
3. Dolor: Riesgo en plataformas virtuales y credenciales expuestas.Para esto quiero comenzar hablarles de Integrar autenticación multifactor (MFA) y monitoreo continuo de accesos.
4. Dolor: Presupuesto ajustado y equipos posiblemente desactualizados. Por lo que debemos de presentar soluciones costo efectivas y escalables, con licenciamiento flexible, dejándoles este mensaje ""“Seguridad avanzada sin necesidad de grandes inversiones en personal o infraestructura.”"
COEXITO,,AUTOMOTRÍZ,MELISSA CAMPUZANO CARDONA,A,MEDIO,POSITIVA,"1. Protección de Datos de clientes y transacciones 

2. Infraestructura distribuida y heterogénea
Tienen una red nacional de centros de servicio y plataformas de comercio electrónico.

3. Continuidad Operativa (Su promesa comercial es “operación continua y rentable”)

4. Conciencia al personal
Miles de empleados en diferentes sedes con distintos niveles de conocimiento digital","Ya se tuvo una primera sesión con el cliente, es una cuenta nueva asignada que puedo explotar y desarrollar grandemente entre este 2026 y el 2027.
*Ya tengo agenda para el martes 3 febrero revisar todos estos dolores.
1. Dolor: riesgo de robo de datos, fraude digital y ataques a sistemas de facturación y pagos electrónicos.
2. Dolor: múltiples puntos de acceso que pueden ser vulnerables, con dificultad para tener visibilidad centralizada de toda la operación.
3. Dolor: un ataque de ransomware podría paralizar logística, inventarios y servicios de diagnóstico, afectando directamente la reputación y la confianza del cliente.
4. Dolor: alta exposición a ataques de phishing y errores humanos que pueden abrir puertas a amenazas."
USB,,EDUCACIÓN,MELISSA CAMPUZANO CARDONA,A,ALTO,POSITIVA,,
ALCALDÍA DE CANDELARIA,,GOBIERNO,MELISSA CAMPUZANO CARDONA,C,MEDIO,POSITIVA,"Retos de infraestructura obsoleta, fragmentación de sistemas y protección de datos sensibles, lo que abre la puerta a una estrategia de ciberseguridad que combine tecnología moderna, capacitación y gobernanza digital.",1. Visita con preventa para revisar arquitectura y entender muy bien el alcance de los acuerdos marco interadministrativos que actualmente tienen.
AQUAOCCIDENTE,,,,C,,,,
HARINERA DEL VALLE,,,,B,,,"Proyectos este año:
1. Renovación y Compra Switches Abril y Agosto
2. Herramienta de Gestion de vulnerabilidades
3. Proteccion de IA
4. Protección de datos académicos y administrativos","1. Estoy buscando un espacio para revisar cómo quiere trabajar estas oportunidades
2. Con Tenable venimos trabajando la cuenta desde el año pasado, se que ha estado escuchando Vicarius pero quiero que retomemos con fabricante para ofrecerla.
3. Se tiene una reunión agendada para el miércoles 4 de febrero con David Ortiz donde presentaremos la estrategia de ciberseguridad para la IA
4. Actualmente lo único que hacen son backups local, no tienen 3,2,1  no tienen ninguna estrategia de protección de datos, punto a revisar"
COLOMBINA,SUR,,,B,,,,
FANALCA,SUR,,,B,,,,
PINTURAS ALGRECO,SUR,FABRICACIÓN DE PRODUCTOS QUÍMICOS Y RECUBRIMIENTOS,MELISSA CAMPUZANO CARDONA,B,MEDIO,POSITIVA,Es un cliente para,
SUPRAPACK,SUR,,,B,,,,
EMCALI,SUR,SERVICIOS,MELISSA CAMPUZANO CARDONA,B,BAJO,NEUTRAL,,
